"No","Kategori","Indikator Penilaian","0 (Tidak Setuju)","1 (Kurang Setuju)","2 (Cukup Setuju)","3 (Setuju)","4 (Sangat Setuju)"
"1","Self-Maturity (Kematangan Diri)","Yang bersangkutan tidak melakukan perbuatan yang dilarang dalam Al-Qur'an & Sunnah","0","1","2","3","4"
"2","Self-Maturity (Kematangan Diri)","Yang bersangkutan menjalankan sholat lima waktu","0","1","2","3","4"
"3","Self-Maturity (Kematangan Diri)","Yang bersangkutan terbiasa menjalankan ibadah sholat sunnah & puasa sunnah","0","1","2","3","4"
"4","Self-Maturity (Kematangan Diri)","Yang bersangkutan terbiasa meningkatkan kualitas ketakwaan melalui kajian kegamaan","0","1","2","3","4"
"5","Self-Maturity (Kematangan Diri)","Yang bersangkutan berani menyampaikan kebenaran meski tidak populis","0","1","2","3","4"
"6","Self-Maturity (Kematangan Diri)","Yang bersangkutan terbiasa amanah dalam menjalankan kewajiban","0","1","2","3","4"
"7","Self-Maturity (Kematangan Diri)","Yang bersangkutan berusaha menjadi teladan dalam setiap perkataan dan perbuatan","0","1","2","3","4"
"8","Self-Maturity (Kematangan Diri)","Yang bersangkutan berusaha menyelesaikan tugas dengan tuntas dan optimal","0","1","2","3","4"
"9","Self-Maturity (Kematangan Diri)","Yang bersangkutan terbiasa untuk tidak menunda dan mengabaikan tanggung jawab yang diberikan","0","1","2","3","4"
"10","Self-Maturity (Kematangan Diri)","Yang bersangkutan berusaha untuk berjuang sungguh-sungguh dalam menjalankan amanah","0","1","2","3","4"
"11","Self-Maturity (Kematangan Diri)","Yang bersangkutan Memiliki daya tahan terhadap tekanan dan fleksibel mengelola persoalan","0","1","2","3","4"
"12","Self-Maturity (Kematangan Diri)","Yang bersangkutan Mampu berfikir secara konsep dan teknis","0","1","2","3","4"
"13","Self-Maturity (Kematangan Diri)","Yang bersangkutan Memiliki keterampilan dalam memetakan masalah dan solusi yang akan dilakukan","0","1","2","3","4"
"14","Self-Maturity (Kematangan Diri)","Yang bersangkutan terbiasa untuk selalu Terbuka dan mau menerima masukan","0","1","2","3","4"
"15","Self-Maturity (Kematangan Diri)","Yang bersangkutan Memiliki kemampuan mempengaruhi dan membangun gerakan kebaikan","0","1","2","3","4"
"16","Self-Maturity (Kematangan Diri)","Yang bersangkutan Berani mengambil keputusan yang tepat dalam kondisi mendesak","0","1","2","3","4"
"17","Self-Maturity (Kematangan Diri)","Yang bersangkutan mampu mengindentifikasi skala prioritas dalam menjalani amanah ataupun tujuan hidup","0","1","2","3","4"
"18","Self-Maturity (Kematangan Diri)","Yang bersangkutan mampu mengidentifikasi keperluan pribadi yang tidak merugikan orang lain","0","1","2","3","4"
"19","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan Memiliki kepedulian terhadap orang lain melalui insiatif sosial","0","1","2","3","4"
"20","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan dinilai Memiliki karya yang bermanfaat ditengah masyarakat","0","1","2","3","4"
"21","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan dinilai memiliki ide yang terbarukan untuk memecahkan permasalahan yang ada di masyarakat dan bersifat sustainable","0","1","2","3","4"
"22","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan Memiliki ide aktivitas sosial berupa project yang dijalankan untuk kepentingan masyarakat","0","1","2","3","4"
"23","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan Menjuarai kompetisi/memiliki karya sesuai dengan keahlian yang dimiliki","0","1","2","3","4"
"24","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan mengikuti kegiatan Magang atau mengikuti pertukaran antar Univ/Negara","0","1","2","3","4"
"25","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan Memiliki kemampuan menggunakan teknologi terkini","0","1","2","3","4"
"26","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan dinilai Agile dan adapatif terhadap sesuatu yang baru","0","1","2","3","4"
"27","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan dinilai Selalu bersikap optimistis","0","1","2","3","4"
"28","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan dinilai memiliki kemampuan public speaking yang mumpuni","0","1","2","3","4"
"29","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan dinilai Mampu menyampaikan pesan dengan lugas dan mudah dimengerti","0","1","2","3","4"
"30","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan dinilai Memiliki kemampuan analitis dan daya kritis atas permasalahan yang terjadi pada skala nasional","0","1","2","3","4"
"31","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan mampu membaca perubahan trend yang akan terjadi di masa depan","0","1","2","3","4"
"32","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan Mampu mempengaruhi dan membangun kolaborasi untuk mencapai tujuan bersama","0","1","2","3","4"
"33","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan Memiliki TOEFL minimal 500 atau IELTS minimal 6.0 atau nilai yang setara dengannya untuk bahasa asing lainnya","0","1","2","3","4"
"34","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan dinilai mampu Membangun kepercayaan melalui kompetensi yang dimiliki","0","1","2","3","4"
"35","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan dinilai mempunyai standar kualitas yang tinggi dalam mencapai tujuan","0","1","2","3","4"
"36","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan dinilai dapat menciptakan pengaruh melalui skill yang dimiliki dengan metode atau cara terbaru","0","1","2","3","4"
"37","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan dinilai Mampu membaca dan memetakan permasalahan dengan konsep berfikir yang ilmiah","0","1","2","3","4"
"38","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan dinilai Memiliki roadmap yang jelas dalam mencapai tujuan berdasarkan personalized Curriculum","0","1","2","3","4"
"39","Competency Enrichment (Pengayaan Kompetensi)","Yang bersangkutan dinilai mengetahui cara serta strategi efektif dalam mencapai tujuan tersebut","0","1","2","3","4"
"40","Bringing Inspiration (Penyedia Inspirasi)","Yang bersangkutan dinilai mampu mempersiapkan calon pemimpin berikutnya","0","1","2","3","4"
"41","Bringing Inspiration (Penyedia Inspirasi)","Yang bersangkutan dinilai mampu menghasilkan SDM yang dapat melanjutkan gerakan kebaikan","0","1","2","3","4"
"42","Bringing Inspiration (Penyedia Inspirasi)","Yang bersangkutan dinilai memiliki aktivitas sosial yang bermanfaat bagi lingkungan sekitar","0","1","2","3","4"
"43","Bringing Inspiration (Penyedia Inspirasi)","Yang bersangkutan telah melakukan proses advokasi atas permasalahan yang terjadi di lingkungan sekitar","0","1","2","3","4"
"44","Bringing Inspiration (Penyedia Inspirasi)","Yang bersangkutan Bersikap adaptif dan tidak menolak perubahan","0","1","2","3","4"
"45","Bringing Inspiration (Penyedia Inspirasi)","Yang bersangkutan Tergabung dalam organisasi/komunitas di masyarakat","0","1","2","3","4"
"46","Bringing Inspiration (Penyedia Inspirasi)","Yang bersangkutan terlibat dan menghasilkan ide gagasan baru untuk menyelesaikan permasalahan yang dihadapi","0","1","2","3","4"
"47","Bringing Inspiration (Penyedia Inspirasi)","Yang bersangkutan Mampu menggalang sumberdaya dan bekerja sama untuk mencapai tujuan bersama","0","1","2","3","4"
"48","Bringing Inspiration (Penyedia Inspirasi)","Yang bersangkutan Memiliki kemampuan melakukan proses empowerement di lingkungan tempat tinggal","0","1","2","3","4"
"49","Bringing Inspiration (Penyedia Inspirasi)","Yang bersangkutan Memiliki sikap melayani dalam menghadirkan kebermanfaatan publik","0","1","2","3","4"
"50","Bringing Inspiration (Penyedia Inspirasi)","Yang bersangkutan Mampu mempengaruhi dan membangun kolaborasi untuk mencapai tujuan bersama","0","1","2","3","4"
